# Kandidaatide valituks osutumise tõenäosused
#
# simulatsioon märtsi avaldatud Emori küsitluse andmete põhjal (
#   https://www.err.ee/1608901703/kantar-emori-kusitlus-reformierakond-liigub-valimisvoidu-poole
# )
#
#
# {
#    ISAMAA Erakond=7,
#    Eesti Konservatiivne Rahvaerakond=14,
#    Eesti Reformierakond=35,
#    Eesti Keskerakond=17,
#    Erakond Eesti 200=16,
#    Sotsiaaldemokraatlik Erakond=12
# }
#
#########################
    100 Kandidaat(nimi=YANA TOOM, erakond=Eesti Keskerakond, valimisringkond=7
      1 Kandidaat(nimi=MAREK KULLAMÄGI, erakond=Erakond Eesti 200, valimisringkond=7
      1 Kandidaat(nimi=LILIA MÜLLER, erakond=Eesti Konservatiivne Rahvaerakond, valimisringkond=11
      1 Kandidaat(nimi=LAURI DRUBINŠ, erakond=Eesti Reformierakond, valimisringkond=11
      1 Kandidaat(nimi=KRISTA SILDOJA, erakond=Erakond Eesti 200, valimisringkond=11
      1 Kandidaat(nimi=KÄTLIN JOALA, erakond=Erakond Eesti 200, valimisringkond=12
      1 Kandidaat(nimi=KARL PÜTSEPP, erakond=Sotsiaaldemokraatlik Erakond, valimisringkond=10
      1 Kandidaat(nimi=KARL ERIK HEINSOO, erakond=Erakond Eesti 200, valimisringkond=8
      1 Kandidaat(nimi=KADRI KÕUSAAR, erakond=Sotsiaaldemokraatlik Erakond, valimisringkond=1
      1 Kandidaat(nimi=KADRI JÄÄTMA, erakond=Erakond Eesti 200, valimisringkond=3
      1 Kandidaat(nimi=JAANUS RIIBE, erakond=Eesti Keskerakond, valimisringkond=1
      1 Kandidaat(nimi=JAANUS MÜÜR, erakond=Eesti Reformierakond, valimisringkond=5
      1 Kandidaat(nimi=JAANUS KALEV, erakond=Eesti Keskerakond, valimisringkond=4
      1 Kandidaat(nimi=IZABELLA RIITSAAR, erakond=Eesti Keskerakond, valimisringkond=2
      1 Kandidaat(nimi=IRMA VÄRE, erakond=ISAMAA Erakond, valimisringkond=8
      1 Kandidaat(nimi=HELVE SÄRGAVA, erakond=Eesti Keskerakond, valimisringkond=3
      1 Kandidaat(nimi=HELE EVERAUS, erakond=Eesti Reformierakond, valimisringkond=10
      1 Kandidaat(nimi=HANAH LAHE, erakond=Eesti Reformierakond, valimisringkond=1
      1 Kandidaat(nimi=DENISS PRESNETSOV, erakond=Eesti Keskerakond, valimisringkond=2
      1 Kandidaat(nimi=ARLI KANTER, erakond=Erakond Eesti 200, valimisringkond=12
      1 Kandidaat(nimi=ANNA ÕUEKALLAS, erakond=Eesti Reformierakond, valimisringkond=4
      1 Kandidaat(nimi=ANDRES JAADLA, erakond=Eesti Keskerakond, valimisringkond=2
      1 Kandidaat(nimi=ANDRE LAINE, erakond=Eesti Keskerakond, valimisringkond=11
      1 Kandidaat(nimi=AIVAR ROSENBERG, erakond=Eesti Reformierakond, valimisringkond=11
      1 Kandidaat(nimi=AINAR SEPNIK, erakond=Eesti Reformierakond, valimisringkond=6
      1 Kandidaat(nimi=AAT PURJE, erakond=Eesti Konservatiivne Rahvaerakond, valimisringkond=2
